Customer Name,Sales,Orders,Recency,R Score,F Score,M Score,RFM Score,Segment
Nicole Brennan,273.87,2,1165,1,1,1,111,Clients à risque
Georgia Rosenberg,1284.38,2,1135,1,1,2,112,Clients à risque
Ricardo Emerson,48.36,1,1097,1,1,1,111,Clients à risque
Craig Molinari,3984.45,4,1034,1,2,4,124,À réactiver
Valerie Takahito,1736.6,2,999,1,1,3,113,À réactiver
Pauline Chand,1061.49,2,881,1,1,2,112,Clients à risque
Andy Gerbode,1455.04,4,844,1,2,2,122,Clients à risque
Peter Fuller,9062.86,4,834,1,2,5,125,À réactiver
David Philippe,1058.62,2,811,1,1,2,112,Clients à risque
Craig Carroll,2854.12,4,798,1,2,4,124,À réactiver
Sam Craven,3362.96,5,780,1,2,4,124,À réactiver
Lycoris Saunders,368.88,3,776,1,1,1,111,Clients à risque
Duane Huffman,1043.1,4,775,1,1,2,112,Clients à risque
Kelly Williams,449.1,4,770,1,1,1,111,Clients à risque
Harold Dahlen,251.36,3,768,1,1,1,111,Clients à risque
Guy Phonely,236.53,2,764,1,1,1,111,Clients à risque
Stefanie Holloman,2096.39,2,764,1,1,3,113,À réactiver
Jack Garza,2358.68,3,757,1,1,3,113,À réactiver
Joel Jenkins,195.0,2,752,1,1,1,111,Clients à risque
Joni Blumstein,900.55,3,736,1,1,1,111,Clients à risque
Deanra Eno,2550.87,5,718,1,2,3,123,À réactiver
Mark Packer,2945.82,6,718,1,3,4,134,À réactiver
Carlos Meador,565.39,2,707,1,1,1,111,Clients à risque
David Flashing,2390.53,3,699,1,1,3,113,À réactiver
Cathy Hwang,1537.24,3,690,1,1,2,112,Clients à risque
Phillip Breyer,132.74,2,687,1,1,1,111,Clients à risque
Brad Thomas,415.2,2,659,1,1,1,111,Clients à risque
Robert Barroso,221.08,5,648,1,2,1,121,Clients à risque
Denny Joy,2012.52,4,637,1,2,3,123,À réactiver
John Lucas,2725.26,6,614,1,3,4,134,À réactiver
Susan MacKendrick,1043.04,1,606,1,1,2,112,Clients à risque
Jim Radford,1156.66,2,593,1,1,2,112,Clients à risque
Toby Braunhardt,2198.45,6,583,1,3,3,133,À réactiver
Brian Stugart,3288.11,3,582,1,1,4,114,À réactiver
Valerie Dominguez,6442.25,6,581,1,3,5,135,À réactiver
Bobby Trafton,603.88,4,560,1,1,1,111,Clients à risque
Bill Shonely,10501.65,5,558,1,3,5,135,À réactiver
Maureen Gnade,1342.28,3,555,1,1,2,112,Clients à risque
Lela Donovan,5.3,1,552,1,1,1,111,Clients à risque
Corey-Lock,1300.08,5,549,1,2,2,122,Clients à risque
Anemone Ratner,88.15,1,534,1,1,1,111,Clients à risque
Steven Ward,758.7,2,534,1,1,1,111,Clients à risque
Rob Haberlin,2085.74,3,534,1,1,3,113,À réactiver
John Stevenson,3868.02,5,534,1,3,4,134,À réactiver
Neil Franzأ¶sisch,377.16,4,525,1,1,1,111,Clients à risque
Ritsa Hightower,740.38,2,519,1,1,1,111,Clients à risque
Theresa Swint,2163.62,6,504,1,3,3,133,À réactiver
Anthony O'Donnell,161.28,1,501,1,1,1,111,Clients à risque
Rachel Payne,954.65,4,496,1,1,2,112,Clients à risque
Shirley Schmidt,613.4,3,491,1,1,1,111,Clients à risque
Vivek Grady,418.43,4,491,1,1,1,111,Clients à risque
Chad Sievert,884.64,4,489,1,1,1,111,Clients à risque
Karen Daniels,8282.36,5,484,1,3,5,135,À réactiver
Paul Knutson,1441.15,2,483,1,1,2,112,Clients à risque
Jennifer Jackson,709.18,5,483,1,2,1,121,Clients à risque
Don Miller,1376.79,3,481,1,1,2,112,Clients à risque
Brad Eason,748.03,5,481,1,2,1,121,Clients à risque
Corey Roper,475.9,3,470,1,1,1,111,Clients à risque
Rick Huthwaite,6979.18,6,467,1,3,5,135,À réactiver
Pierre Wener,3922.41,7,464,1,4,4,144,À réactiver
Joni Sundaresam,469.17,5,463,1,2,1,121,Clients à risque
Julia West,1428.73,4,461,1,2,2,122,Clients à risque
Chad Cunningham,1685.89,5,457,1,2,2,122,Clients à risque
Melanie Seite,370.35,4,452,1,1,1,111,Clients à risque
Chuck Magee,287.99,3,436,1,1,1,111,Clients à risque
Lindsay Castell,3246.63,4,436,1,2,4,124,À réactiver
MaryBeth Skach,475.66,4,434,1,1,1,111,Clients à risque
Sonia Sunley,418.49,6,432,1,3,1,131,Clients à risque
Cindy Schnelling,970.11,4,424,1,1,2,112,Clients à risque
Elpida Rittenbach,1245.79,3,421,1,1,2,112,Clients à risque
Sally Matthias,244.49,4,421,1,1,1,111,Clients à risque
Maureen Fritzler,937.04,5,421,1,2,2,122,Clients à risque
Aaron Bergman,886.16,3,415,1,1,1,111,Clients à risque
Art Foster,861.56,4,415,1,1,1,111,Clients à risque
Sung Chung,14.11,1,414,1,1,1,111,Clients à risque
Lisa DeCherney,1961.93,4,414,1,2,3,123,À réactiver
Maurice Satty,1613.4,6,413,1,3,2,132,Clients à risque
Odella Nelson,1567.52,9,410,1,5,2,152,Clients à risque
Anna Hأ¤berlin,7888.29,12,410,1,5,5,155,À réactiver
Ionia McGrath,48.4,2,409,1,1,1,111,Clients à risque
Karen Carlisle,2120.95,6,407,1,3,3,133,À réactiver
Tim Taslimi,439.5,3,406,1,1,1,111,Clients à risque
Nora Pelletier,1164.73,5,406,1,2,2,122,Clients à risque
Erica Hackney,825.95,6,405,1,3,1,131,Clients à risque
Justin Hirsh,2256.39,4,404,1,2,3,123,À réactiver
Cathy Armstrong,1679.72,5,401,1,2,2,122,Clients à risque
Cynthia Delaney,1860.73,5,399,1,2,3,123,À réactiver
Mark Cousins,4432.14,5,399,1,3,5,135,À réactiver
Tamara Chand,19052.22,5,399,1,3,5,135,À réactiver
Jonathan Doherty,7610.86,11,394,1,5,5,155,À réactiver
Liz MacKendrick,1346.77,5,391,1,2,2,122,Clients à risque
Kean Takahito,3057.1,7,391,1,4,4,144,À réactiver
Irene Maddox,4930.47,7,390,1,4,5,145,À réactiver
Randy Ferguson,3309.15,8,390,1,4,4,144,À réactiver
Gene Hale,1361.24,2,387,1,1,2,112,Clients à risque
Paul MacIntyre,1405.4,3,386,1,1,2,112,Clients à risque
Stephanie Phelps,1872.44,9,386,1,5,3,153,À réactiver
Chris McAfee,2305.71,5,385,1,2,3,123,À réactiver
Logan Haushalter,1739.69,9,385,1,5,3,153,À réactiver
Mark Haberlin,400.02,4,376,1,1,1,111,Clients à risque
Mike Caudle,1582.0,5,369,1,2,2,122,Clients à risque
Roy Collins,966.41,6,369,1,3,2,132,Clients à risque
Carl Jackson,16.52,1,365,1,1,1,111,Clients à risque
Fred Wasserman,79.75,3,362,1,1,1,111,Clients à risque
Dennis Pardue,5480.72,9,358,1,5,5,155,À réactiver
Thais Sissman,4.83,2,357,1,1,1,111,Clients à risque
Dianna Arnett,156.76,4,352,1,1,1,111,Clients à risque
Tracy Poddar,1936.64,4,350,1,2,3,123,À réactiver
Tim Brockman,1602.38,7,349,1,4,2,142,Clients à risque
Sanjit Chand,14142.33,9,349,1,5,5,155,À réactiver
Raymond Messe,1453.47,6,345,1,3,2,132,Clients à risque
Thea Hendricks,2422.82,5,344,1,2,3,123,À réactiver
Claire Gute,1148.78,3,338,1,1,2,112,Clients à risque
Toby Gnade,3058.37,5,337,1,2,4,124,À réactiver
Beth Thompson,2567.66,5,336,1,2,3,123,À réactiver
Benjamin Venier,1523.27,5,334,1,2,2,122,Clients à risque
Bryan Davis,658.47,6,327,1,3,1,131,Clients à risque
Sibella Parks,1306.09,6,327,1,3,2,132,Clients à risque
Stewart Visinsky,4105.31,9,320,1,5,4,154,À réactiver
Becky Martin,11789.63,4,307,1,2,5,125,À réactiver
Richard Eichhorn,666.52,4,302,1,1,1,111,Clients à risque
Ed Jacobs,2162.17,4,302,1,2,3,123,À réactiver
Bill Tyler,2186.61,6,302,1,3,3,133,À réactiver
Julia Dunbar,695.44,3,300,1,1,1,111,Clients à risque
Roland Murray,98.35,1,299,1,1,1,111,Clients à risque
Karl Braun,1569.46,9,296,1,5,2,152,Clients à risque
Karen Seio,88.47,3,295,1,1,1,111,Clients à risque
Marc Harrigan,1691.51,5,294,1,2,2,122,Clients à risque
Ken Dana,907.16,4,289,1,1,1,111,Clients à risque
Jason Klamczynski,383.81,3,287,1,1,1,111,Clients à risque
Edward Nazzal,2199.37,4,287,1,2,3,123,À réactiver
Troy Blackwell,1240.87,4,285,1,1,2,112,Clients à risque
Clay Ludtke,10880.55,12,284,1,5,5,155,À réactiver
Anna Chung,657.32,5,282,1,2,1,121,Clients à risque
Mary Zewe,2564.91,6,282,1,3,3,133,À réactiver
Brendan Dodson,320.54,2,278,1,1,1,111,Clients à risque
Alejandro Grove,2582.9,5,278,1,2,3,123,À réactiver
Dave Hallsten,3487.2,5,277,1,3,4,134,À réactiver
Maribeth Schnelling,7443.69,10,273,1,5,5,155,À réactiver
Bryan Spruell,949.43,2,265,1,1,2,112,Clients à risque
Mitch Gastineau,16.74,1,264,1,1,1,111,Clients à risque
Dennis Bolton,1081.47,5,264,1,2,2,122,Clients à risque
Craig Leslie,2335.59,4,260,1,2,3,123,À réactiver
Andrew Allen,1790.51,4,259,1,2,3,123,À réactiver
Christina VanderZanden,2830.63,5,254,1,2,4,124,À réactiver
Shirley Jackson,1318.78,5,253,1,2,2,122,Clients à risque
Lauren Leatherbury,2454.55,5,249,1,2,3,123,À réactiver
Henry MacAllister,736.28,4,247,1,1,1,111,Clients à risque
Neoma Murray,2161.98,10,244,1,5,3,153,À réactiver
Dorothy Wardle,1204.85,7,242,1,3,2,132,Clients à risque
Darren Budd,2469.67,4,241,1,2,3,123,À réactiver
Mike Kennedy,1031.6,4,240,1,1,2,112,Clients à risque
Lisa Hazard,318.24,4,239,1,1,1,111,Clients à risque
Trudy Schmidt,3368.09,5,238,1,2,4,124,À réactiver
Penelope Sewall,6843.63,7,236,1,4,5,145,À réactiver
Alyssa Crouse,925.8,3,232,1,1,1,111,Clients à risque
Charles Sheldon,844.46,5,232,1,2,1,121,Clients à risque
Amy Hunt,2495.39,5,230,1,2,3,123,À réactiver
Ken Black,2744.74,12,230,1,5,4,154,À réactiver
Susan Gilcrest,47.95,3,226,2,1,1,211,Clients à risque
Toby Swindell,974.78,5,226,2,2,2,222,Clients à risque
Jason Fortune-,955.12,5,225,2,2,2,222,Clients à risque
Nat Carroll,2461.4,5,224,2,2,3,223,À réactiver
John Grady,1507.02,6,223,2,3,2,232,Clients à risque
Vivek Sundaresam,1055.98,4,221,2,1,2,212,Clients à risque
Bryan Mills,1338.84,10,218,2,5,2,252,Clients à risque
Dianna Wilson,5271.63,5,217,2,3,5,235,À réactiver
Duane Noonan,2139.79,7,217,2,4,3,243,À réactiver
Eric Hoffmann,684.17,8,217,2,4,1,241,Clients à risque
Jesus Ocampo,1090.84,5,215,2,2,2,222,Clients à risque
Barry Weirich,385.52,3,212,2,1,1,211,Clients à risque
Fred Harton,2271.28,4,212,2,2,3,223,À réactiver
Nick Radford,2367.28,5,210,2,2,3,223,À réactiver
Liz Willingham,1259.04,3,205,2,1,2,212,Clients à risque
Noah Childs,1821.74,5,204,2,2,3,223,À réactiver
Michelle Tran,1319.45,4,203,2,1,2,212,Clients à risque
Ben Wallace,1738.41,6,203,2,3,3,233,À réactiver
Zuschuss Donatelli,1493.94,5,202,2,2,2,222,Clients à risque
Tom Boeckenhauer,9108.74,6,202,2,3,5,235,À réactiver
Becky Castell,2933.68,9,202,2,5,4,254,À réactiver
Sarah Bern,1348.02,3,201,2,1,2,212,Clients à risque
Shirley Daniels,6004.33,9,200,2,5,5,255,À réactiver
Thomas Seio,5371.09,7,198,2,4,5,245,À réactiver
Claudia Bergmann,4246.46,8,197,2,4,4,244,À réactiver
Philip Fox,2770.0,6,196,2,3,4,234,À réactiver
Steven Roelle,4345.89,8,196,2,4,5,245,À réactiver
Toby Ritter,675.94,5,193,2,2,1,221,Clients à risque
Jeremy Ellison,1388.68,6,193,2,3,2,232,Clients à risque
Alan Shonely,503.97,5,192,2,2,1,221,Clients à risque
Matthew Clasen,795.15,4,189,2,1,1,211,Clients à risque
Nicole Hansen,2518.67,6,189,2,3,3,233,À réactiver
Caroline Jumper,11164.97,8,189,2,5,5,255,À réactiver
Sarah Brown,6411.0,6,188,2,3,5,235,À réactiver
Denny Blanton,1711.69,4,187,2,2,3,223,À réactiver
Scott Cohen,3729.79,8,187,2,4,4,244,À réactiver
